Sample;176Lu/177Hf;1s_error;176Hf/177Hf;1s_error.1;t(Ga);2s_error
300351_07;0,00544;0,00008;0,28293;0,00002;0,047;0,001
300351_08;0,00897;0,00018;0,28285;0,00003;0,047;0,001
300351_10;0,00394;0,00019;0,28297;0,00003;0,046;0,001
300351_13;0,00254;0,00012;0,28304;0,00002;0,047;0,001
300351_17;0,00075;0,00003;0,28254;0,00002;0,284;0,004
300351_19;0,00214;0,00019;0,28307;0,00004;0,045;0,001
300351_20;0,00493;0,00029;0,28292;0,00003;0,051;0,000
300351_23;0,00151;0,00002;0,28303;0,00002;0,046;0,001
300351_24;0,00358;0,00003;0,28294;0,00003;0,046;0,001
300351_25;0,00074;0,00006;0,28309;0,00003;0,048;0,002
300351_26;0,00555;0,00000;0,28292;0,00002;0,046;0,001
300351_32;0,00185;0,00005;0,28302;0,00002;0,046;0,000
300351_33;0,00229;0,00005;0,28299;0,00002;0,049;0,001
300351_35;0,00618;0,00040;0,28285;0,00005;0,047;0,001
300351_36;0,00456;0,00003;0,28303;0,00003;0,048;0,000
300351_37;0,00250;0,00007;0,28300;0,00002;0,047;0,001
300351_39;0,00487;0,00017;0,28290;0,00003;0,046;0,000
300351_40;0,00062;0,00002;0,28303;0,00002;0,043;0,001
300351_43;0,00388;0,00016;0,28297;0,00002;0,047;0,000
300351_44;0,00462;0,00008;0,28292;0,00002;0,045;0,000
300351_45;0,00295;0,00002;0,28300;0,00002;0,046;0,001
300351_46;0,00409;0,00011;0,28296;0,00002;0,046;0,000
300351_47;0,00243;0,00009;0,28295;0,00003;0,048;0,001
300351_49;0,00187;0,00003;0,28303;0,00002;0,047;0,001
300339_1_01;0,00272;0,00005;0,28308;0,00001;0,055;0,002
300339_1_02;0,00131;0,00004;0,28311;0,00002;0,051;0,001
300339_1_03;0,00769;0,00023;0,28299;0,00005;0,062;0,002
300339_1_04;0,00263;0,00019;0,28294;0,00002;0,000;0,000
300339_1_06;0,00358;0,00008;0,28309;0,00002;0,049;0,002
300339_1_07;0,00214;0,00008;0,28305;0,00002;0,051;0,002
300339_1_08;0,00367;0,00010;0,28307;0,00004;0,047;0,002
300339_1_09;0,00182;0,00008;0,28302;0,00001;0,050;0,002
300339_1_10;0,00685;0,00020;0,28303;0,00002;0,048;0,002
300339_1_11;0,00711;0,00029;0,28312;0,00002;0,058;0,002
300339_1_12;0,00150;0,00002;0,28307;0,00002;0,045;0,002
300339_1_13;0,00643;0,00003;0,28312;0,00003;0,058;0,002
300339_1_14;0,00161;0,00002;0,28307;0,00002;0,047;0,001
300339_1_15;0,00108;0,00011;0,28301;0,00002;0,049;0,001
300339_1_16;0,00214;0,00004;0,28317;0,00002;0,045;0,001
300339_1_17;0,00181;0,00002;0,28307;0,00002;0,047;0,001
300339_1_18;0,00348;0,00016;0,28309;0,00004;0,047;0,002
300339_1_19;0,00330;0,00011;0,28310;0,00002;0,047;0,002
300339_1_20;0,00351;0,00005;0,28303;0,00002;0,046;0,002
300339_1_21;0,00157;0,00007;0,28303;0,00002;0,053;0,002
300339_1_22;0,00122;0,00004;0,28304;0,00002;0,048;0,002
300339_1_23;0,00346;0,00006;0,28313;0,00002;0,059;0,002
300339_1_24;0,00662;0,00013;0,28311;0,00002;0,059;0,002
300339_1_25;0,00150;0,00003;0,28308;0,00002;0,049;0,002
300339_1_26;0,00319;0,00008;0,28302;0,00002;0,046;0,001
300339_1_27;0,00610;0,00009;0,28310;0,00003;0,058;0,002
300339_1_28;0,00629;0,00009;0,28298;0,00003;0,047;0,001
