Sample;Sample_ID;Grain_ID;206Pb_238U;206Pb_238U_err_1s;207Pb_235U;207Pb_235U_err_1s;RHO;75Age;75Age_err;68Age;68Age_err_2s;BestAge;BestAge_err;Disc
300340_01b;300340;01b;0,01;0,00;0,07;0,00;0,52;65,21;2,19;59,06;1,06;59,06;1,06;0,09
300340_02;300340;02;0,01;0,00;0,16;0,02;0,38;151,80;34,12;72,96;6,75;72,96;6,75;0,52
300340_02b;300340;02b;0,01;0,00;0,08;0,02;0,52;75,20;28,29;34,69;7,02;34,69;7,02;0,54
300340_03;300340;03;0,01;0,00;0,04;0,00;0,22;38,85;4,04;38,19;0,90;38,19;0,90;0,02
300340_03b;300340;03b;0,01;0,00;0,15;0,02;0,21;144,50;33,74;54,50;2,90;54,50;2,90;0,62
300340_04;300340;04;0,01;0,00;0,05;0,00;0,98;46,08;2,76;44,97;2,69;44,97;2,69;0,02
300340_04b;300340;04b;0,01;0,00;0,21;0,01;0,16;193,31;24,56;71,69;1,56;71,69;1,56;0,63
300340_05;300340;05;0,01;0,00;0,16;0,02;0,32;147,17;42,08;43,41;4,24;43,41;4,24;0,71
300340_05b;300340;05b;0,01;0,00;0,06;0,00;0,77;60,51;4,86;50,87;3,21;50,87;3,21;0,16
300340_06;300340;06;0,01;0,00;0,17;0,02;0,35;156,01;32,86;48,16;3,81;48,16;3,81;0,69
300340_06b;300340;06b;0,01;0,00;0,08;0,02;0,14;82,51;31,11;51,86;2,90;51,86;2,90;0,37
300340_07;300340;07;0,01;0,00;0,04;0,00;0,77;37,92;1,11;36,73;0,84;36,73;0,84;0,03
300340_07b;300340;07b;0,01;0,00;0,09;0,01;0,14;84,16;12,26;59,62;1,22;59,62;1,22;0,29
300340_08;300340;08;0,01;0,00;0,10;0,01;0,27;92,97;23,36;48,64;3,39;48,64;3,39;0,48
300340_08b;300340;08b;0,01;0,00;0,05;0,00;0,63;50,63;1,70;46,30;1,00;46,30;1,00;0,09
300340_09;300340;09;0,01;0,00;0,05;0,00;0,61;49,46;3,49;44,87;1,99;44,87;1,99;0,09
300340_09b;300340;09b;0,01;0,00;0,05;0,05;0,05;48,57;94,57;60,48;4,72;60,48;4,72;-0,25
300340_10;300340;10;0,01;0,00;0,06;0,00;0,77;58,13;2,51;53,93;1,85;53,93;1,85;0,07
300340_10b;300340;10b;0,01;0,00;0,06;0,00;0,21;61,52;7,04;58,76;1,47;58,76;1,47;0,04
300340_11;300340;11;0,03;0,01;0,99;0,42;0,84;700,32;390,93;173,86;121,13;173,86;121,13;0,75
300340_11b;300340;11b;0,01;0,00;0,05;0,00;0,59;49,30;1,89;46,20;1,06;46,20;1,06;0,06
300340_12;300340;12;0,01;0,00;0,05;0,00;0,50;50,17;3,56;42,95;1,57;42,95;1,57;0,14
300340_12b;300340;12b;0,01;0,00;0,09;0,01;0,22;89,50;17,02;49,54;2,14;49,54;2,14;0,45
300340_13;300340;13;0,01;0,00;0,05;0,00;0,49;49,97;5,13;43,71;2,27;43,71;2,27;0,13
300340_13b;300340;13b;0,01;0,00;0,08;0,00;0,14;82,40;7,16;59,24;0,73;59,24;0,73;0,28
300340_14;300340;14;0,01;0,00;0,06;0,00;0,29;63,16;6,48;51,24;1,57;51,24;1,57;0,19
300340_14b;300340;14b;0,01;0,00;0,06;0,00;0,17;59,74;6,48;46,42;0,87;46,42;0,87;0,22
300340_15;300340;15;0,01;0,00;0,04;0,00;0,86;44,67;1,29;42,79;1,08;42,79;1,08;0,04
300340_15b;300340;15b;0,01;0,00;0,07;0,00;0,24;67,20;5,13;46,84;0,87;46,84;0,87;0,30
300340_16;300340;16;0,01;0,00;0,07;0,00;0,55;69,14;9,29;40,75;3,11;40,75;3,11;0,41
300340_16b;300340;16b;0,01;0,00;0,06;0,00;0,18;57,02;6,50;43,15;0,92;43,15;0,92;0,24
300340_17;300340;17;0,01;0,00;0,06;0,00;0,96;56,21;2,48;55,46;2,41;55,46;2,41;0,01
300340_17b;300340;17b;0,01;0,00;0,08;0,01;0,21;73,83;15,36;49,91;2,30;49,91;2,30;0,32
300340_18;300340;18;0,01;0,00;0,05;0,00;0,87;52,75;3,81;46,20;2,97;46,20;2,97;0,12
300340_18b;300340;18b;0,01;0,00;0,08;0,00;0,60;80,71;6,16;61,61;2,90;61,61;2,90;0,24
300340_19;300340;19;0,01;0,00;0,04;0,00;0,79;43,51;4,56;42,15;3,53;42,15;3,53;0,03
300340_19b;300340;19b;0,01;0,00;0,44;0,04;0,57;373,45;56,07;89,20;9,09;89,20;9,09;0,76
300340_19Bb;300340;19Bb;0,01;0,00;0,14;0,01;0,45;133,85;13,90;67,10;3,36;67,10;3,36;0,50
300340_20;300340;20;0,01;0,00;0,05;0,00;0,91;51,44;4,19;48,27;3,67;48,27;3,67;0,06
300340_20b;300340;20b;0,00;0,00;0,08;0,35;1,00;77,50;564,86;4,06;35,22;4,06;35,22;0,95
300340_21;300340;21;0,01;0,00;0,05;0,00;0,48;46,99;3,37;44,34;1,57;44,34;1,57;0,06
300340_21b;300340;21b;0,01;0,00;0,05;0,00;0,62;51,44;1,88;45,93;1,07;45,93;1,07;0,11
300340_22;300340;22;0,01;0,00;0,06;0,00;0,42;59,81;4,82;39,28;1,37;39,28;1,37;0,34
300340_22b;300340;22b;0,01;0,00;0,06;0,00;0,50;59,73;2,46;57,07;1,22;57,07;1,22;0,04
300340_23;300340;23;0,01;0,00;0,05;0,00;0,50;45,59;2,23;42,48;1,05;42,48;1,05;0,07
300340_23b;300340;23b;0,01;0,00;0,06;0,00;0,17;57,41;5,28;48,50;0,75;48,50;0,75;0,16
300340_24;300340;24;0,01;0,00;0,05;0,00;0,85;47,37;3,37;43,30;2,69;43,30;2,69;0,09
300340_24b;300340;24b;0,01;0,00;0,05;0,00;0,48;53,47;5,05;43,27;1,99;43,27;1,99;0,19
300340_25;300340;25;0,01;0,00;0,06;0,00;0,36;61,51;5,03;51,59;1,57;51,59;1,57;0,16
300340_25b;300340;25b;0,01;0,00;0,07;0,00;0,36;71,21;9,39;43,52;2,14;43,52;2,14;0,39
